| Bin ID | Translated Words |
|--------|------------------|
| bin_1  | HERE, THURINGIA, WHERE, IN BETWEEN, YOU, negative-ALSO, I, RARELY, ALL, ALLGAEU, UNDER, SIX HUNDRED, CHANGE, SHOW-SCREEN, A FEW DAYS, CONTINUOUSLY, EIGHTH, STRAIGHT, SHORT, SCANDINAVIA, LAKE, HAVE, AS ALWAYS, ACTUALLY, M, METER, MAKE, INFORM, FEBRUARY |
| bin_2  | SEEM, SINK, FREEZE, INFORM, MAY, WHAT, DURING THE DAY, FIFTH, AHEAD, FORECAST, THREE, AFTERNOON, DURATION, SEVEN, SAME, GRAUPEL, THEREFORE, FIRST, LATER, JUNE, DIFFERENCE, HOW-LOOK, negative-RAIN, TWO, AUGUST, TUESDAY, WINTER, MARCH, negative-HAVE |
| bin_3  | REST, LESS, HEIGHT, THIRD, ZONE, CHANGE, NEAR, APRIL, CLOUDY, WEDNESDAY, SCOTLAND, ZERO, GOODBYE, negative-NO, DISSOLVE, PLUS, THIRTEEN, JULY, CASTLE, FEW, EIGHT, NOVEMBER, DECEMBER, SMOOTH, VIEWER, AGAIN, DIFFERENT, OCTOBER, BETWEEN |
| bin_4  | BAVARIA, MAXIMUM, REASON, THERE, FIFTEEN, FOURTEEN, BIRD, GROUND, INCOMING, THAW, PRESSURE, FURTHER, SLOWLY, SIX, GREET, HAIL, WEEK, SIXTEEN, ONE, WISH, NEXT, COME, COLOGNE, CAUTION, SEE, LOOSE, SKY, FIRST, OVER |
| bin_5  | SOUTHEAST, ALTERNATE, THIRTY, PART, SECOND, SATURDAY, MONDAY, SAXONY, HAVE2, FOG, BEGINNING, TWELVE, STAR, THEREFORE, EIGHTEEN, OFTEN, SOUTHWEST, PROBABLY, FIVE, FIRE, BERLIN, NINETEEN, DEAR, BUT, AUTUMN, STAY, NOON, MOSTLY, TEN |
| bin_6  | ADDITIONALLY, AND, DISAPPEAR, FOUR, SUNDAY, RIVER, IF, PLACE, DEGREE, SOUTH, GERMANY, AFTER, MINUS, HURRICANE, MAINLY, CAN, TEMPERATURE, FOREST, SNOW, PREDOMINANTLY, SEVENTEEN, BETTER, ALPS, SO, TWENTY, SEPTEMBER, LAND, QUIET, ONLY |
| bin_7  | UNTIL, AIR, LITTLE, NORTHEAST, STREET, HOW, STORM, OTHERWISE, NOW, HIGH, FRESH, COLD, DULL, SIMILAR, ELEVEN, CLOUD, MOUNTAIN, GOOD, HOT, CHANGEABLE, COOL, EUROPE, HEAVY, BLOW, MIXTURE, SOMETIMES, possessive-YOU, THUNDERSTORM, JANUARY |
| bin_8  | COAST, EAST, FRIDAY, MORNING, ALREADY, THURSDAY, NORTHWEST, WEEKEND, WEST, LOW, BUT, LONG, BEFORE, RAIN, GERMAN, CENTER, STRONG, WEAK, LIGHT, REGION, SUN, EARLY, POSSIBLE, WITH, SHOWER, STORM, DANGER, NORTH, NINE |
| bin_9  | SEA, WARM, FROM, MUCH, FROST, IN THE COURSE, ESPECIALLY, WIND, MILD, CLEAR, SPECIAL, ALSO, NEW, WEATHER, HUMID, MODERATE, WARNING, SNOW, IX, OR, DAY, MORE, TODAY, NIGHT, FRIENDLY, ENORMOUS, THEN, EVENING, DRY, BEAUTIFUL, STILL, PARTLY, SERVICE, RISE |
